assay_batch_id	assay_date	assay_reaction_ul	assay_machine	assay_amplification_method	assay_amplification_method_lot_id	assay_quantification_method	assay_quantification_type	assay_batch_record_version	assay_method	assay_method_lot_id	assay_qx_manager_version	assay_run_by	assay_batch_comment
AB04022024	04/02/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	Norovirus GII (ORF1_2) (Boehm et al, 2023)	NA		HP	None
AB07102024	07/10/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64594017	ddPCR	Direct Quantification	2.0.2	dPCR Norovirus GI;GII Assay Kit for the Bio-Rad QX200 (GT Molecular 100468)	21422		HP	USED NEW SM WITH OLD KIT (64580484)
AB07222024	07/22/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64564655	ddPCR	Direct Quantification	2.0.2	dPCR Norovirus GI;GII Assay Kit for the Bio-Rad QX200 (GT Molecular 100468)	21294		HP	ALL SAMPLES FROM NAB127; USED ADDITIONAL SM FROM 64594017
AB1	11/30/2023	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64554453	ddPCR	Direct Quantification	2.0.0	SARS-CoV-2 (N1, N2), Human (RNAse P) Triplex (dEXD28563542)	63101839		JL	None
AB10	01/31/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64571283	ddPCR	Direct Quantification	2.0.0	RSV A/B (G) (dEXD77482599)	66418870		JL	None
AB11	02/08/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64571283	ddPCR	Direct Quantification	2.0.0	SARS-CoV-2 (N1, N2), Human (RNAse P) Triplex (dEXD28563542)	63101839		JL	H03 IS BLANK
AB12	02/08/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64571283	ddPCR	Direct Quantification	2.0.0	RSV A/B (G) (dEXD77482599)	66418870		JL	None
AB13	02/15/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	xxxxxxx	ddPCR	Direct Quantification	2.0.0	Custom Design	64571283		JL	None
AB14	02/26/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64571283	ddPCR	Direct Quantification	2.0.0	SARS-CoV-2 (N1, N2), Human (RNAse P) Triplex (dEXD28563542)	63101839		JL	None
AB15	02/26/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64571283	ddPCR	Direct Quantification	2.0.0	Influenza A (M), B (NEP/NS1), Human (RNAse P) Triplex (dEXD84844642)	68387138		JL	IGNORE FLUB- FAM/HEX - CONTAMINATION
AB16	02/26/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64571283	ddPCR	Direct Quantification	2.0.0	RSV A/B (G) (dEXD77482599)	66418870		JL	None
AB17	02/28/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64571283	ddPCR	Direct Quantification	2.0.0	SARS-CoV-2 (N1, N2), Human (RNAse P) Triplex (dEXD28563542)	63101839		JL	None
AB18	02/29/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64571283	ddPCR	Direct Quantification	2.0.0	Custom Design	66418870,69915335		JL	RSVAB SINGLE - FAM & FLUA SINGLE - HEX 
AB19	03/08/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.0	SARS-CoV-2 (N1, N2), Human (RNAse P) Triplex (dEXD28563542)	63101839		JL	A FEW LATE SAMPLES DID NOT MAKE THE RUN
AB1NoV	03/11/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	xxxxxxx	ddPCR	Direct Quantification	2.0.1	Norovirus GII (ORF1_2) (Boehm et al, 2023)	xxxxxxx		HP	None
AB2	12/14/2023	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64554453	ddPCR	Direct Quantification	2.0.0	SARS-CoV-2 (N2) (dEXD28513507)	341878142		JL	None
AB20	03/07/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.0	Custom Design	66418870,69915335		JL	A FEW LATE SAMPLES DID NOT MAKE THE RUN
AB21	03/13/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	SARS-CoV-2 (N1, N2), Human (RNAse P) Triplex (dEXD28563542)	63101839		JL	None
AB22	03/13/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	Custom Design	66418870,69915335		JL	None
AB23	03/20/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101839	ddPCR	Direct Quantification	2.0.1	SARS-CoV-2 (N1, N2), Human (RNAse P) Triplex (dEXD28563542)	64580484		TD	None
AB24	03/20/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	67284502,69915335	ddPCR	Direct Quantification	2.0.1	Custom Design	64580484		JL	None
AB25	03/28/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	SARS-CoV-2 (N1, N2), Human (RNAse P) Triplex (dEXD28563542)	63101839		JL	None
AB26	03/28/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	Custom Design	67284502,618984633		JL	None
AB27	04/05/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	SARS-CoV-2 (N1, N2), Human (RNAse P) Triplex (dEXD28563542)	63101839		JL	PC FAILED BUT WORKED IN SAMPLES -- DEGRADED
AB28	04/05/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	Custom Design	618984633		JL	PC FAILED BUT WORKED IN SAMPLES -- DEGRADED
AB30	04/15/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	SARS-CoV-2 (N1, N2), Human (RNAse P) Triplex (dEXD28563542)	63101839		JL	None
AB31	04/15/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	Custom Design	618984633,632170952		JL	None
AB33	04/19/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	Custom Design			JL	None
AB35	05/17/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	SARS-CoV-2 (N1, N2), Human (RNAse P) Triplex (dEXD28563542)	63101839		JL	None
AB36	05/17/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	Influenza A (M), B (NEP/NS1), Human (RNAse P) Triplex (dEXD84844642)	638745082		JL	None
AB37	05/24/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	Custom Design	638745080,638745087,638745081,638745066		JL	NO POSITIVE CONTROL
AB38	05/31/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	Custom Design	638745080,638745087,638745081,638745066		JL	NO PC -- WILL ADD NEXT RUN
AB39	06/17/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	Custom Design	638745080,63845087,638745081,638745066		JL	None
AB40	06/24/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	Custom Design	64580484		JL	638745080,638745087,638745081,638745066
