extraction_id	concentration_id	extraction_batch_id	extraction_location_in_batch	extraction_location_in_storage	extraction_comment
N02-1000.e1	N02-1000.c1	EB199	C04	K4	
Q01-1001.e1	Q01-1001.c1	EB199	C01	K1	
T01-0424.e1	T01-0424.c1	EB199	B06	J6	
C01-1121.e1	C01-1121.c1	EB199	A06	I6	
P01-1002.e1	P01-1002.c1	EB199	C05	K5	
Q01-1000.e1	Q01-1000.c1	EB199	B07	J7	
C01-1125.e1	C01-1125.c1	EB199	B02	J2	
A01-1412.e1	A01-1412.c1	EB199	A02	I2	
C01-1122.e1	C01-1122.c1	EB199	A07	I7	
O01-0587.e1	O01-0587.c1	EB199	C03	K3	
A01-1414.e1	A01-1414.c1	EB199	A04	I4	
R02-1001.e1	R02-1001.c1	EB199	B04	J4	
A01-1411.e1	A01-1411.c1	EB199	A01	NAB 159 I1	
C01-1124.e1	C01-1124.c1	EB199	B01	J1	
L01-1000.e1	L01-1000.c1	EB199	C06	K6	
H01-1008.e1	H01-1008.c1	EB199	B05	J5	
A01-1415.e1	A01-1415.c1	EB199	A05	I5	
A04-0573.e1	A04-0573.c1	EB199	C02	K2	
G01-0651.e1	G01-0651.c1	EB199	B03	J3	
C01-1123.e1	C01-1123.c1	EB199	A08	I8	
U01-0182.e1	U01-0182.c1	EB199	B08	J8	
A01-1413.e1	A01-1413.c1	EB199	A03	I3	
